Name,Market Cap (GBP$ Billion)
JPMorgan Chase,270.093889622624
Industrial and Commercial Bank of China,216.53359310952
Bank of America,204.87381025038403
Wells Fargo,156.98227751427203
China Construction Bank,152.324223557984
Agricultural Bank of China,132.92298939099203
HSBC Holdings PLC,124.11956037297601
Citigroup Inc.,119.80573367446402
Bank of China,110.70202130392002
China Merchants Bank,97.67997738209601
Royal Bank of Canada,83.34694028704
Toronto-Dominion Bank,78.080995641488
Commonwealth Bank,73.071390443216
Itaú Unibanco,62.75189669414401
U.S. Bancorp,61.81442671552001
Goldman Sachs,57.63975571696
Banco Santander,55.274108817776
Morgan Stanley,54.14621524974401
Westpac,49.68590886707201
Mitsubishi UFJ Financial Group,48.48477545696001
Scotiabank,47.957448593984005
PNC Financial Services,46.221664336688
Bank of Communications,45.298842326480006
BNP Paribas,43.475170258688
Australia and New Zealand Banking Group,40.19402533350401
National Australia Bank,37.850350386944
Lloyds Banking Group,37.491475160752
Sumitomo Mitsui Financial Group,36.51006127688
Bank of Montreal,35.243012008896
UBS,33.631735483136005
ING Group,32.935956983376
Capital One,31.654259746976003
The Bank of New York Mellon,31.185524757664002
China Minsheng Bank,28.658750205904003
China CITIC Bank,28.23395912184
Banco Bilbao Vizcaya Argentaria,27.406348906336003
Mizuho Financial Group,27.062121648560005
Intesa Sanpaolo,27.025501727520002
Crédit Agricole,25.553380901712003
Canadian Imperial Bank of Commerce,25.538732933296
NatWest Group,24.864926386160004
Barclays,24.359571475808
Credit Suisse,22.5212514396
Nordea,21.671669271472002
Standard Chartered,21.510541618896003
KBC Bank,20.06771672992
UniCredit,19.686869551104
Société Générale,15.578114410416001
Deutsche Bank,11.549923096016
JPMorgan Chase,286.31944423702726
Industrial and Commercial Bank of China,252.83418843805123
Bank of America,238.27191063728483
Wells Fargo,225.5882347858704
China Construction Bank,188.51862111549923
HSBC Holdings PLC,160.59300172881603
Agricultural Bank of China,148.85558463707522
Citigroup Inc.,148.797725161832
Bank of China,132.90760902415522
China Merchants Bank,89.80376476481281
Royal Bank of Canada,89.76568004693121
Banco Santander,84.7355676928768
Commonwealth Bank,82.19487757112161
Mitsubishi UFJ Financial Group,81.77960766652801
Toronto-Dominion Bank,79.4278763373392
BNP Paribas,75.6259961349664
Goldman Sachs,73.756182966664
Sberbank of Russia,73.122658332672
Morgan Stanley,72.9842350311408
U.S. Bancorp,69.25412987400641
HDFC Bank,64.76965434344801
Itaú Unibanco,63.13494106822241
Westpac,61.931610462848006
Scotiabank,57.820658126897605
ING Group,57.80088336953601
UBS,55.282897598825606
Charles Schwab,54.384244736504
PNC Financial Services,52.9128563091168
Lloyds Banking Group,52.185584677262405
Sumitomo Mitsui Financial Group,49.31092087562241
Bank of Communications,49.12782127042241
Australia and New Zealand Banking Group,48.6664102653184
Banco Bradesco,47.47113604257281
National Australia Bank,46.7226248565152
Intesa Sanpaolo,45.4321388390656
Banco Bilbao Vizcaya Argentaria,44.4404713773024
Japan Post Bank,44.328414418920005
The Bank of New York Mellon,43.814270727518405
Shanghai Pudong Development Bank,43.0620975493568
Industrial Bank (China),42.0308805728704
Bank of China (Hong Kong),40.610760034939204
Bank of Montreal,38.9496804165648
Crédit Agricole,38.1879860589328
DBS Bank,37.70020871068
Nordea,37.487813168648
Capital One,37.4306860918256
NatWest Group,36.978796266192006
Mizuho Financial Group,36.633104211574405
Credit Suisse,35.493492268809604
Postal Savings Bank of China,35.1170394805184
China Minsheng Bank,35.097264723156805
UniCredit,34.99179935056161
China CITIC Bank,34.75303746538081
Hang Seng Bank,33.815567486756805
Société Générale,33.727679676260806
Barclays,33.580467593680005
Canadian Imperial Bank of Commerce,31.8915568353152
Bank Central Asia,31.745077151155204
Truist Financial,30.704338995198405
Oversea-Chinese Banking Corp,30.293463481129603
State Bank of India,29.7075447444896
State Street,29.126752796795202
Deutsche Bank,28.306466565499203
KBC Bank,28.1197049681952
Danske Bank,27.9944648382384
Ping An Bank,27.826013201454405
Standard Chartered,27.332376665835206
United Overseas Bank,25.727691725862403
QNB Group,24.579291002048002
Bank Rakyat,24.228472158484806
Banco Bilbao Vizcaya Argentaria,44.4404713773024
Japan Post Bank,44.328414418920005
The Bank of New York Mellon,43.814270727518405
Shanghai Pudong Development Bank,43.0620975493568
Industrial Bank (China),42.0308805728704
Bank of China (Hong Kong),40.610760034939204
Bank of Montreal,38.9496804165648
Crédit Agricole,38.1879860589328
DBS Bank,37.70020871068
Nordea,37.487813168648
Capital One,37.4306860918256
NatWest Group,36.978796266192006
Mizuho Financial Group,36.633104211574405
Credit Suisse,35.493492268809604
Postal Savings Bank of China,35.1170394805184
China Minsheng Bank,35.097264723156805
UniCredit,34.99179935056161
China CITIC Bank,34.75303746538081
Hang Seng Bank,33.815567486756805
Société Générale,33.727679676260806
Barclays,33.580467593680005
Canadian Imperial Bank of Commerce,31.8915568353152
Bank Central Asia,31.745077151155204
Truist Financial,30.704338995198405
Oversea-Chinese Banking Corp,30.293463481129603
State Bank of India,29.7075447444896
State Street,29.126752796795202
Deutsche Bank,28.306466565499203
KBC Bank,28.1197049681952
Danske Bank,27.9944648382384
Ping An Bank,27.826013201454405
Standard Chartered,27.332376665835206
United Overseas Bank,25.727691725862403
QNB Group,24.579291002048002
Bank Rakyat,24.228472158484806
